Frame,Track_ID,x_min,x_max,y_min,y_max
3,1,97,127,297,332
3,2,315,352,136,168
3,3,68,100,322,358
3,4,48,83,81,113
4,1,98,128,297,332
4,2,315,352,136,168
4,3,67,99,322,358
4,4,46,81,81,113
5,1,98,128,297,332
5,2,315,352,136,168
5,3,66,98,322,358
5,4,44,79,81,113
6,1,99,129,297,332
6,2,315,352,136,168
6,3,65,97,322,358
6,4,42,77,81,113
7,1,99,129,297,332
7,2,315,352,135,167
7,3,65,97,322,358
7,4,40,75,81,113
8,1,99,129,297,332
8,2,315,352,135,167
8,3,64,96,322,358
8,4,38,73,81,113
9,1,100,130,297,332
9,2,315,352,134,166
9,3,63,95,322,358
9,4,35,70,81,113
10,1,100,130,297,332
10,2,315,352,134,166
10,3,62,94,323,359
10,4,33,68,81,113
11,1,101,131,297,332
11,2,315,352,134,166
11,3,61,93,323,359
11,4,31,66,81,113
12,1,101,131,297,332
12,2,315,352,134,166
12,3,60,92,323,359
12,4,29,64,81,113
13,1,101,131,297,332
13,2,315,352,134,166
13,3,59,91,323,359
13,4,27,62,81,113
14,1,102,132,297,332
14,2,315,352,134,166
14,3,59,91,323,359
14,4,24,59,81,113
15,1,102,132,297,332
15,2,315,352,133,165
15,3,58,90,323,359
15,4,22,57,81,113
16,1,103,133,297,332
16,2,314,351,133,165
16,3,57,89,323,359
16,4,20,55,81,113
17,1,103,133,297,332
17,2,314,351,133,165
17,3,56,88,323,359
17,4,18,53,81,113
18,1,103,133,298,333
18,2,313,350,133,165
18,3,55,87,324,360
18,4,16,51,81,113
19,1,104,134,298,333
19,2,313,350,133,165
19,3,55,87,324,360
19,4,14,49,81,113
20,1,104,134,298,333
20,2,313,350,133,165
20,3,54,86,324,360
20,4,11,46,81,113
21,1,105,135,298,333
21,2,313,350,132,164
21,3,53,85,324,360
21,4,9,44,81,113
22,1,105,135,298,333
22,2,313,350,132,164
22,3,52,84,324,360
22,4,7,42,81,113
23,1,106,136,298,333
23,2,313,350,132,164
23,3,51,83,324,360
23,4,5,40,81,113
24,1,106,136,298,333
24,2,313,350,132,164
24,3,50,82,324,360
24,4,3,38,81,113
25,1,106,136,298,333
25,2,313,350,132,164
25,3,50,82,325,361
25,4,1,36,81,113
26,1,107,137,298,333
26,2,313,350,132,164
26,3,49,81,325,361
26,4,0,34,81,113
27,1,107,137,298,333
27,2,313,350,131,163
27,3,48,80,325,361
28,1,108,138,298,333
28,2,313,350,131,163
28,3,47,79,325,361
29,1,108,138,298,333
29,2,313,350,131,163
29,3,46,78,325,361
30,1,108,138,298,333
30,2,313,350,131,163
30,3,46,78,325,361
31,1,109,139,298,333
31,2,313,350,131,163
31,3,45,77,325,361
32,1,109,139,298,333
32,2,313,350,131,163
32,3,44,76,325,361
33,1,110,140,299,334
33,2,312,349,130,162
33,3,43,75,326,362
34,1,110,140,299,334
34,2,312,349,130,162
34,3,42,74,326,362
35,1,110,140,299,334
35,2,312,349,130,162
35,3,41,73,326,362
36,1,111,141,299,334
36,2,312,349,130,162
36,3,41,73,326,362
37,1,111,141,299,334
37,2,312,349,130,162
37,3,40,72,326,362
38,1,112,142,299,334
38,2,312,349,130,162
38,3,39,71,326,362
39,1,112,142,299,334
39,2,312,349,129,161
39,3,38,70,326,362
40,1,112,142,299,334
40,2,312,349,129,161
40,3,37,69,327,363
41,1,113,143,299,334
41,2,312,349,129,161
41,3,37,69,327,363
42,1,113,143,299,334
42,2,312,349,129,161
42,3,36,68,327,363
43,1,114,144,299,334
43,2,312,349,129,161
43,3,35,67,327,363
44,1,114,144,299,334
44,2,312,349,129,161
44,3,34,66,327,363
45,1,115,145,299,334
45,2,312,349,128,160
45,3,33,65,327,363
46,1,115,145,299,334
46,2,312,349,128,160
46,3,32,64,327,363
47,1,115,145,299,334
47,2,312,349,128,160
47,3,32,64,327,363
48,1,116,146,300,335
48,2,311,348,128,160
48,3,31,63,328,364
49,1,116,146,300,335
49,2,311,348,128,160
49,3,30,62,328,364
50,1,117,147,300,335
50,2,311,348,128,160
50,3,29,61,328,364
51,1,117,147,300,335
51,2,311,348,127,159
51,3,28,60,328,364
52,1,117,147,300,335
52,2,311,348,127,159
52,3,27,59,328,364
53,1,118,148,300,335
53,2,311,348,127,159
53,3,27,59,328,364
54,1,118,148,300,335
54,2,311,348,127,159
54,3,26,58,328,364
55,1,119,149,300,335
55,2,311,348,127,159
55,3,25,57,328,364
56,1,119,149,300,335
56,2,311,348,127,159
56,3,24,56,329,365
57,1,119,149,300,335
57,2,311,348,126,158
57,3,23,55,329,365
58,1,120,150,300,335
58,2,311,348,126,158
58,3,23,55,329,365
59,1,120,150,300,335
59,2,311,348,126,158
59,3,22,54,329,365
60,1,121,151,300,335
60,2,311,348,126,158
60,3,21,53,329,365
61,1,121,151,300,335
61,2,311,348,126,158
61,3,20,52,329,365
62,1,121,151,300,335
62,2,311,348,126,158
62,3,19,51,329,365
63,1,122,152,301,336
63,2,310,347,125,157
63,3,18,50,330,366
64,1,122,152,301,336
64,2,310,347,125,157
64,3,18,50,330,366
65,1,123,153,301,336
65,2,310,347,125,157
65,3,17,49,330,366
66,1,123,153,301,336
66,2,310,347,125,157
66,3,16,48,330,366
67,1,124,154,301,336
67,2,310,347,125,157
67,3,15,47,330,366
68,1,124,154,301,336
68,2,310,347,125,157
68,3,14,46,330,366
69,1,124,154,301,336
69,2,310,347,124,156
69,3,14,46,330,366
70,1,125,155,301,336
70,2,310,347,124,156
70,3,13,45,330,366
71,1,125,155,301,336
71,2,310,347,124,156
71,3,12,44,331,367
72,1,126,156,301,336
72,2,310,347,124,156
72,3,11,43,331,367
73,1,126,156,301,336
73,2,310,347,124,156
73,3,10,42,331,367
74,1,126,156,301,336
74,2,310,347,124,156
74,3,9,41,331,367
75,1,127,157,301,336
75,2,310,347,123,155
75,3,9,41,331,367
76,1,127,157,301,336
76,2,310,347,123,155
76,3,8,40,331,367
77,1,128,158,301,336
77,2,310,347,123,155
77,3,7,39,331,367
78,1,128,158,302,337
78,2,310,347,123,155
78,3,6,38,332,368
79,1,128,158,302,337
79,2,309,346,123,155
79,3,5,37,332,368
80,1,129,159,302,337
80,2,309,346,123,155
80,3,5,37,332,368
81,1,129,159,302,337
81,2,309,346,122,154
81,3,4,36,332,368
82,1,130,160,302,337
82,2,309,346,122,154
82,3,3,35,332,368
83,1,130,160,302,337
83,2,309,346,122,154
83,3,2,34,332,368
84,1,130,160,302,337
84,2,309,346,122,154
84,3,1,33,332,368
85,1,131,161,302,337
85,2,309,346,122,154
85,3,0,32,332,368
86,1,131,161,302,337
