Frame,Track_id,x_min,x_max,y_min,y_max
3,1,88,118,291,326
3,2,315,352,136,168
3,3,70,102,322,358
3,4,54,89,81,113
4,1,85,115,289,324
4,2,315,352,136,168
4,3,70,102,322,358
4,4,54,89,81,113
5,1,81,111,287,322
5,2,315,352,136,168
5,3,70,102,322,358
5,4,54,89,82,114
6,1,78,108,285,320
6,2,315,352,136,168
6,3,70,102,322,358
6,4,54,89,82,114
7,1,75,105,283,318
7,2,315,352,136,168
7,3,70,102,322,358
7,4,54,89,82,114
8,1,72,102,281,316
8,2,315,352,136,168
8,3,70,102,323,359
8,4,54,89,83,115
9,1,68,98,279,314
9,2,316,353,136,168
9,3,70,102,323,359
9,4,53,88,83,115
10,1,65,95,277,312
10,2,316,353,136,168
10,3,70,102,323,359
10,4,53,88,83,115
11,1,62,92,275,310
11,2,316,353,136,168
11,3,70,102,323,359
11,4,52,87,84,116
12,1,58,88,273,308
12,2,316,353,136,168
12,3,70,102,323,359
12,4,52,87,84,116
13,1,55,85,271,306
13,2,316,353,136,168
13,3,70,102,324,360
13,4,52,87,84,116
14,1,52,82,269,304
14,2,316,353,136,168
14,3,70,102,324,360
14,4,52,87,85,117
15,1,48,78,267,302
15,2,317,354,136,168
15,3,69,101,324,360
15,4,52,87,85,117
16,1,45,75,265,300
16,2,317,354,136,168
16,3,69,101,324,360
16,4,52,87,85,117
17,1,42,72,263,298
17,2,317,354,136,168
17,3,68,100,324,360
17,4,52,87,86,118
18,1,39,69,261,296
18,2,317,354,136,168
18,3,68,100,324,360
18,4,52,87,86,118
19,1,35,65,259,294
19,2,317,354,136,168
19,3,68,100,325,361
19,4,52,87,86,118
20,1,32,62,257,292
20,2,317,354,136,168
20,3,68,100,325,361
20,4,51,86,86,118
21,1,29,59,255,290
21,2,318,355,136,168
21,3,68,100,325,361
21,4,51,86,87,119
22,1,26,56,253,288
22,2,318,355,136,168
22,3,68,100,325,361
22,4,51,86,87,119
23,1,22,52,251,286
23,2,318,355,136,168
23,3,68,100,325,361
23,4,51,86,87,119
24,1,19,49,249,284
24,2,318,355,136,168
24,3,68,100,326,362
24,4,51,86,88,120
25,1,16,46,247,282
25,2,318,355,136,168
25,3,68,100,326,362
25,4,51,86,88,120
26,1,12,42,245,280
26,2,318,355,136,168
26,3,68,100,326,362
26,4,51,86,88,120
27,1,9,39,243,278
27,2,319,356,136,168
27,3,68,100,326,362
27,4,51,86,89,121
28,1,6,36,240,275
28,2,319,356,136,168
28,3,68,100,326,362
28,4,50,85,89,121
29,1,3,33,238,273
29,2,319,356,136,168
29,3,68,100,326,362
29,4,50,85,89,121
30,1,0,29,236,271
30,2,319,356,136,168
30,3,68,100,327,363
30,4,50,85,90,122
31,1,-3,26,233,268
31,2,319,356,136,168
31,3,67,99,327,363
31,4,50,85,90,122
32,2,319,356,136,168
32,3,67,99,327,363
32,4,50,85,90,122
33,2,319,356,136,168
33,3,67,99,327,363
33,4,50,85,91,123
34,2,320,357,136,168
34,3,67,99,327,363
34,4,50,85,91,123
35,2,320,357,136,168
35,3,67,99,328,364
35,4,50,85,91,123
36,2,320,357,136,168
36,3,67,99,328,364
36,4,50,85,91,123
37,2,320,357,136,168
37,3,67,99,328,364
37,4,49,84,92,124
38,2,320,357,136,168
38,3,67,99,328,364
38,4,49,84,92,124
39,2,320,357,136,168
39,3,67,99,328,364
39,4,49,84,92,124
40,2,321,358,136,168
40,3,67,99,328,364
40,4,49,84,93,125
41,2,321,358,136,168
41,3,67,99,329,365
41,4,49,84,93,125
42,2,321,358,136,168
42,3,67,99,329,365
42,4,49,84,93,125
43,2,321,358,136,168
43,3,67,99,329,365
43,4,49,84,94,126
44,2,321,358,136,168
44,3,67,99,329,365
44,4,49,84,94,126
45,2,321,358,136,168
45,3,66,98,329,365
45,4,48,83,94,126
46,2,322,359,136,168
46,3,66,98,330,366
46,4,48,83,95,127
47,2,322,359,136,168
47,3,66,98,330,366
47,4,48,83,95,127
48,2,322,359,136,168
48,3,66,98,330,366
48,4,48,83,95,127
49,2,322,359,136,168
49,3,66,98,330,366
49,4,48,83,96,128
50,2,322,359,137,169
50,3,66,98,330,366
50,4,48,83,96,128
51,2,322,359,137,169
51,3,66,98,330,366
51,4,48,83,96,128
52,2,323,360,137,169
52,3,66,98,331,367
52,4,48,83,97,129
53,2,323,360,137,169
53,3,66,98,331,367
53,4,48,83,97,129
54,2,323,360,137,169
54,3,66,98,331,367
54,4,47,82,97,129
55,2,323,360,137,169
55,3,66,98,331,367
55,4,47,82,97,129
56,2,323,360,137,169
56,3,66,98,331,367
56,4,47,82,98,130
57,2,323,360,137,169
57,3,66,98,332,368
57,4,47,82,98,130
58,2,324,361,137,169
58,3,66,98,332,368
58,4,47,82,98,130
59,2,324,361,137,169
59,3,65,97,332,368
59,4,47,82,99,131
60,2,324,361,137,169
60,3,65,97,332,368
60,4,47,82,99,131
61,2,324,361,137,169
61,3,65,97,332,368
61,4,47,82,99,131
62,2,324,361,137,169
62,3,65,97,332,368
62,4,46,81,100,132
63,2,324,361,137,169
63,3,65,97,333,369
63,4,46,81,100,132
64,2,324,361,137,169
64,3,65,97,333,369
64,4,46,81,100,132
65,2,325,362,137,169
65,3,65,97,333,369
65,4,46,81,101,133
66,2,325,362,137,169
66,3,65,97,333,369
66,4,46,81,101,133
67,2,325,362,137,169
67,3,65,97,333,369
67,4,46,81,101,133
68,2,325,362,137,169
68,3,65,97,334,370
68,4,46,81,102,134
69,2,325,362,137,169
69,3,65,97,334,370
